Date,Open,High,Low,Close,Volume
04-10-2005,157.199997,157.600006,151.699997,152.139999,1361035
05-10-2005,152.419998,153.199997,150.5,151.479996,1449262
06-10-2005,150,151.899994,148,151.080002,2319260
07-10-2005,151.199997,151.800003,146,146.740005,681797
10-10-2005,147.199997,147.940002,143.199997,145.360001,218752
11-10-2005,147.520004,148,144,147.080002,220132
13-10-2005,146.839996,149.960007,145.559998,147.479996,575582
14-10-2005,148,148,144.479996,147.139999,301910
17-10-2005,148.800003,157.479996,148,154.479996,1478770
18-10-2005,154.479996,160.320007,154.479996,158.559998,1283455
19-10-2005,158.220001,159.199997,152,152.940002,1230730
20-10-2005,154.800003,156,147.660004,149.800003,409477
21-10-2005,149.160004,149.960007,146.860001,147.720001,590422
24-10-2005,149.199997,150,144.839996,146,688632
25-10-2005,146.020004,148.720001,141.600006,146.820007,565580
26-10-2005,147.199997,151.199997,146,149.800003,858917
27-10-2005,150,150.399994,140.800003,143.460007,2010945
28-10-2005,144,145.160004,136,139.300003,1256480
31-10-2005,140,144.300003,140,143.960007,479960
02-11-2005,143.240005,144.800003,140.399994,143.759995,409192
04-11-2005,null,null,null,null,null
07-11-2005,144.600006,150.660004,142.899994,150.020004,402552
08-11-2005,151.199997,152.699997,150.399994,151.179993,311155
09-11-2005,151.600006,155.539993,149.720001,150.619995,265185
10-11-2005,151.240005,152.639999,150.039993,150.660004,166912
11-11-2005,151.880005,153.919998,150.839996,152.100006,265582
14-11-2005,152.800003,154,150.679993,152.660004,424150
16-11-2005,153.160004,154.880005,152.460007,153.839996,186260
17-11-2005,154,155.600006,152.860001,154.279999,156162
18-11-2005,155.220001,157.800003,155.220001,156.979996,540752
21-11-2005,157.880005,162.080002,157.880005,159.259995,977175
22-11-2005,159.600006,160.800003,156.600006,157.399994,184155
23-11-2005,158,159,156.059998,157.979996,146382
24-11-2005,159.199997,163.300003,159.199997,162.179993,613370
25-11-2005,163.199997,164.399994,161.800003,162.559998,309717
28-11-2005,163.179993,165.160004,162.440002,164.460007,293475
29-11-2005,164.800003,166.600006,163.279999,163.940002,403410
30-11-2005,164.960007,165.899994,158.020004,159.059998,320585
01-12-2005,157.800003,166.679993,155.199997,165.259995,601985
02-12-2005,166,169.600006,165,168.619995,787570
05-12-2005,169.839996,170,164.800003,165.600006,201030
06-12-2005,166,167.199997,164,165.259995,148922
07-12-2005,165,166.300003,164.199997,165.119995,140537
08-12-2005,165.199997,171.720001,165.199997,170.820007,452990
09-12-2005,171.960007,173.899994,170,170.440002,287942
12-12-2005,171.800003,173.919998,171.220001,172.259995,170437
13-12-2005,173.399994,174.559998,171.320007,171.960007,188810
14-12-2005,172,173.940002,170.119995,171.199997,100215
15-12-2005,171.960007,174,171.199997,172.339996,150612
16-12-2005,173.160004,173.399994,168.539993,170.179993,496862
19-12-2005,171.179993,173.600006,170.179993,172.880005,267237
20-12-2005,174,175.199997,170.619995,171.339996,134597
21-12-2005,172,172.800003,171.619995,172.460007,152435
22-12-2005,174.360001,176,173,174.759995,434130
23-12-2005,175.679993,176,168.059998,172.119995,254225
26-12-2005,172.399994,173.520004,170.800003,172.199997,208802
27-12-2005,173.520004,175.199997,170.800003,172.679993,146305
28-12-2005,173.520004,175.600006,172,172.619995,177925
29-12-2005,173.520004,177.600006,173,176.479996,356970
30-12-2005,177.600006,178.779999,176,177.360001,332335
02-01-2006,178,178.399994,175.220001,176.460007,77145
03-01-2006,177.179993,177.479996,174.820007,175.320007,155022
04-01-2006,176.300003,179.039993,176,176.460007,88815
05-01-2006,177,179.080002,177,177.699997,153880
06-01-2006,178.399994,178.399994,174.399994,176.059998,312457
09-01-2006,178,180.720001,176.440002,177.580002,271812
10-01-2006,178.800003,178.800003,175.520004,175.839996,320420
12-01-2006,176,179.199997,175.199997,176.580002,130037
13-01-2006,178.399994,178.800003,175.199997,175.800003,102977
16-01-2006,175.199997,177.5,174.399994,176.080002,229965
17-01-2006,176,177.919998,173.600006,174.779999,98667
18-01-2006,174.399994,174.399994,170.020004,173.199997,790102
19-01-2006,174,177.559998,174,176.360001,151287
20-01-2006,177.199997,177.199997,174.5,176,300512
23-01-2006,176.800003,177.199997,174.580002,176.5,73972
24-01-2006,177.199997,178.399994,172,172.740005,372770
25-01-2006,175.860001,177.979996,173.279999,174.059998,388837
27-01-2006,175.020004,177.899994,174.800003,177.080002,309535
30-01-2006,178.160004,179.139999,175,177.100006,392372
31-01-2006,178,178.360001,176,176.520004,149195
01-02-2006,176.399994,180.800003,175.600006,176.740005,484212
02-02-2006,188.539993,198.399994,188.539993,196.119995,5127052
03-02-2006,196.800003,200.520004,192.600006,193.460007,2712187
06-02-2006,195.199997,200.320007,194,198.399994,1058752
07-02-2006,199.979996,205.979996,198.639999,204.600006,1351737
08-02-2006,205.800003,223.919998,204,221.139999,4512102
10-02-2006,224,232.699997,223.259995,224.600006,3643445
13-02-2006,230,234.800003,224.860001,226.059998,3009330
14-02-2006,228,228,214.100006,216,1856215
15-02-2006,219.199997,221.960007,216.020004,217.520004,1205720
16-02-2006,219.199997,219.600006,215.639999,216.300003,618725
17-02-2006,216.399994,217.600006,210.800003,211.679993,615897
20-02-2006,220,221.199997,214,216.860001,1595597
21-02-2006,219.039993,220,216,217.100006,830275
22-02-2006,217.399994,224.800003,217.399994,223.539993,1745140
23-02-2006,228,228,222.820007,223.360001,644247
24-02-2006,224,225,219.899994,220.800003,381195
27-02-2006,221.960007,223.440002,220.399994,221.279999,347955
28-02-2006,222,222.720001,219.199997,220.759995,282165
01-03-2006,220.800003,223.960007,220,221.619995,367272
02-03-2006,221.619995,223.5,219.820007,220.399994,252275
03-03-2006,220.800003,222,219.520004,220.080002,226557
